1,Toronto,Canada
2,New York,USA
3,Buffalo,USA
4,Atlanta,USA
5,Los Angeles,USA
6,Chicago,USA
7,Dallas,USA
8,Denver,USA
9,San Francisco,USA
10,Seattle,USA
11,Las Vegas,USA
12,Miami,USA
13,London,United Kingdom
14,Paris,France
15,Frankfurt,Germany
16,Amsterdam,Netherlands
17,Tokyo,Japan
18,Dubai,United Arab Emirates
19,Singapore,Singapore
20,Hong Kong,Hong Kong
21,Seoul,South Korea
22,Sydney,Australia
23,Beijing,China
24,Delhi,India
25,Sao Paulo,Brazil
26,Mexico City,Mexico
27,Mississauga,Canada
28,Vancouver,Canada
29,Johannesburg,South Africa
30,Bangkok,Thailand
31,Kuala Lumpur,Malaysia
32,Istanbul,Turkey
